Bitcoin	 BTC
Ethereum	 ETH
Bitcoin Cash	 BCH
Ripple	 XRP
Dash	 DASH
Litecoin	 LTC
Bitcoin Gold	 BTG
IOTA	 MIOTA
Cardano	 ADA
Ethereum Classic	 ETC
Monero	 XMR
NEO	 NEO
NEM	 XEM
EOS	 EOS
Stellar Lumens	 XLM
BitConnect	 BCC
Qtum	 QTUM
OmiseGO	 OMG
Zcash	 ZEC
Lisk	 LSK
Tether	 USDT
Hshare	 HSR
Waves	 WAVES
Stratis	 STRAT
Populous	 PPT
Ardor	 ARDR
MonaCoin	 MONA
BitShares	 BTS
Decred	 DCR
Bytecoin	 BCN
Ark	 ARK
Vertcoin	 VTC
Augur	 REP
Komodo	 KMD
Nxt	 NXT
SALT	 SALT
Steem	 STEEM
Golem	 GNT
Status	 SNT
Power Ledger	 POWR
TenX	 PAY
Dogecoin	 DOGE
PIVX	 PIVX
MaidSafeCoin	 MAID
Walton	 WTC
Siacoin	 SC
DigixDAO	 DGD
Binance Coin	 BNB
Einsteinium	 EMC
Veritaseum	 VERI
Factom	 FCT
Exchange Union	 XUC
Raiden Network Token	 RDN
Basic Attention Token	 BAT
Syscoin	 SYS
BitcoinDark	 BTCD
Gas	 GAS
Byteball Bytes	 GBYTE
Kyber Network	 KNC
Cryptonex	 CNX
Iconomi	 ICN
TRON	 TRX
ZCoin	 XZC
Aeternity	 AE
GameCredits	 GAME
MinexCoin	 MNX
Gnosis	 GNO
GXShares	 GXS
DigiByte	 DGB
Bytom	 BTM
Ethos	 ETHOS
Santiment	 SAN
Blocknet	 BLOCK
0x	 ZRX
FunFair	 FUN
Civic	 CVC
SingularDTV	 SNGLS
Metal	 MTL
Bancor	 BNT
Metaverse ETP	 ETP
Pura	 PURA
VeChain	 VEN
Peercoin	 PPC
Verge	 XVG
PotCoin	 POT
Nexus	 NXS
ATMChain	 ATM
Lykke	 LKK
Storj	 STORJ
ZenCash	 ZEN
ChainLink	 LINK
Edgeless	 EDG
Quantstamp	 QSP
BitBay	 BAY
Loopring	 LRC
AdEx	 ADX
Particl	 PART
Streamr DATAcoin	 DATA
Aragon	 ANT
Ubiq	 UBQ
Substratum	 SUB
Ubiq	 UBQ
SuperNET	 UNITY
Achain	 ACT
Monaco	 MCO
MobileGo	 MGO
Skycoin	 SKY
FairCoin	 FAIR
Ripio Credit Network	 RCN
PayPie	 PPP
Counterparty	 XCP
Open Trading Network	 OTN
Aeon	 AEON
RChain	 RHOC
Quantum Resistance Ledger	 QRL
I/O Coin	 IOC
Feathercoin	 FTC
Groestlcoin	 GRS
Kin	 KIN
Cobinhood	 COB
Wings	 WINGS
Melon	 MLN
Agoras Tokens	 AGRS
Enigma	 ENG
DECENT	 DCT
SONM	 SNM
Viacoin	 VIA
KuCoin Shares	 KCS
Asch	 XAS
Request Network	 REQ
Zeusshield	 ZSC
Ink	 INK
Emercoin	 EMC
iExec RLC	 RLC
Revain	 R
WeTrust	 TRST
Cofound.it	 CFI
Decentraland	 MANA
Pillar	 PLR
NoLimitCoin	 NLC
Mercury	 MER
CloakCoin	 CLOAK
AirSwap	 AST
Rise	 RISE
Namecoin	 NMC
TaaS	 TAAS
Jinn	 JINN
Time New Bank	 TNB
Neblio	 NEBL
ReddCoin	 RDD
Bitcore	 BTX
Modum	 MOD
Numeraire	 NMR
FirstBlood	 ST
Tierion	 TNT
Safe Exchange Coin	 SAFEX
Grid+	 GRID
RaiBlocks	 XRB
Cindicator	 CND
ATBCoin	 ATB
Bitdeal	 BDL
Gulden	 NLG
Voxels	 VOX
MCAP	 MCAP
Triggers	 TRIG
OKCash	 OK
Centra	 CTR
SIBCoin	 SIB
CoinDash	 CDT
Diamond	 DMD
LBRY Credits	 LBC
Unikoin Gold	 UKG
Ambrosus	 AMB
district0x	 DNT
Blocktix	 TIX
Dentacoin	 DCN
YOYOW	 YOYOW
Moeda Loyalty Points	 MDA
Shift	 SHIFT
Boolberry	 BBR
Xaurum	 XAUR
ION	 ION
BlackCoin	 BLK
Farad	 FRD
ICOS	 ICOS
Elastic	 XEL
LEOcoin	 LEO
TokenCard	 TKN
Crown	 CRW
Paypex	 PAYX
WhiteCoin	 XWC
SmartCash	 SMART
Everex	 EVX
Eidoo	 EDO
Genesis Vision	 GVT
OracleChain	 OCT
Etheroll	 DICE
Synereo	 AMP
Clams	 CLAM
bitqy	 BQ
