time,open,close,low,high,volumefrom,volumeto
8/7/15 14:00,0.6747,3,0.6747,3,81.86,245.57
8/7/15 15:00,3,3,3,3,0,0
8/7/15 17:00,3,3,3,3,42.07,126.22
8/8/15 6:00,1.65,1.85,1.61,1.85,53.04,90.02
8/8/15 7:00,3,3,3,3,31.38,55.6
8/8/15 9:00,1.85,1.5,1.5,1.85,0.2,0.32
8/8/15 10:00,3,2,2,3,125,250
8/8/15 11:00,1.5,1.4,1.4,1.5,92.32,129.26
8/8/15 12:00,1.4,1.4,1.4,1.4,0,0
8/8/15 17:00,2,1.02,1.02,2,234.45,275.13
8/8/15 18:00,1.02,0.15,0.15,1.02,1579.94,634.1
8/8/15 19:00,0.15,0.15,0.15,0.15,0,0
8/8/15 22:00,0.15,1.2,0.15,1.2,3.1,3.72
8/8/15 23:00,1.2,1.2,1.2,1.2,0,0
8/11/15 1:00,1.2,0.7997,0.7997,1.2,4.79,3.83
8/11/15 2:00,1.4,0.66,0.66,1.4,0.1118,0.0738
8/11/15 3:00,0.66,0.66,0.66,0.66,0,0
8/11/15 5:00,0.7997,0.6504,0.6504,0.7997,10,6.5
8/11/15 6:00,0.6504,0.6504,0.6504,0.6504,0,0
8/11/15 8:00,0.6504,0.7,0.6504,0.7,1112.72,758.9
8/11/15 9:00,0.7,0.7,0.7,0.7,459.38,321.57
8/11/15 10:00,0.7,0.7,0.7,0.7,23.85,16.69
8/11/15 11:00,0.7,0.7,0.7,0.7,1069.99,748.99
8/11/15 12:00,0.7,0.7,0.7,0.7,221.24,154.87
8/11/15 13:00,0.7,0.7,0.7,0.7,874.51,612.16
8/11/15 14:00,0.7,0.7,0.7,0.7,3125.49,2187.84
8/11/15 15:00,0.7,0.7988,0.7,0.7988,272.91,218
8/11/15 16:00,0.7988,0.8,0.7988,0.8,72.57,56.2
8/11/15 17:00,0.8,0.8,0.8,0.8,0,0
8/11/15 19:00,0.8,0.9,0.8,0.9,550,495
8/11/15 20:00,0.9,0.98,0.9,0.98,291.07,288.23
8/11/15 21:00,0.98,1.11,0.98,1.15,1210.82,1368.32
8/11/15 22:00,1.11,0.99,0.9386,1.11,186.64,182.55
8/11/15 23:00,0.99,0.99,0.99,0.99,0,0
8/12/15 1:00,1.1,1.05,1.05,1.1,3.14,3.3
8/12/15 2:00,1.05,0.9,0.9,1.05,7,6.3
8/12/15 3:00,0.99,0.99,0.99,1,204.63,204.58
8/12/15 4:00,0.9,0.9,0.9,0.9,102.25,92.02
8/12/15 5:00,0.9,0.9,0.9,0.9,0,0
8/12/15 7:00,0.99,0.9194,0.9194,0.99,141.65,130.24
8/12/15 8:00,0.9194,0.9194,0.9194,0.9194,0,0
8/12/15 10:00,0.9194,0.905,0.905,0.9194,247.66,224.31
8/12/15 11:00,0.9,1,0.9,1,0.1,0.1
8/12/15 12:00,0.905,1.21,0.905,1.21,584.77,660.96
8/12/15 13:00,1.22,1.26,1.22,1.26,0.2208,0.2782
8/12/15 14:00,1.26,1.26,1.26,1.26,0,0
8/12/15 16:00,1.26,1.4,1.26,1.4,166.76,228.7
8/12/15 18:00,1.21,1.2,1.2,1.21,550,660
8/12/15 20:00,1.2,1.25,1.2,1.25,131.91,165
8/12/15 21:00,1.25,1.29,1.25,1.29,0.3647,0.4941
8/12/15 22:00,1.29,1.29,1.29,1.29,0,0
8/13/15 6:00,1.38,1.3,1.3,1.38,4.04,5.26
8/13/15 7:00,1.3,1.3,1.3,1.3,0,0
8/13/15 11:00,1.29,1.26,1.26,1.29,37.48,47.33
8/13/15 12:00,1.26,1.29,1.26,1.29,610.69,787.08
8/13/15 13:00,1.38,1.41,1.38,1.41,10.08,14.22
8/13/15 14:00,1.41,1.41,1.41,1.41,2.3,3.24
8/13/15 15:00,1.29,1.35,1.29,1.35,95,129.51
8/13/15 16:00,1.35,1.6,1.35,1.6,950,1497.93
8/13/15 17:00,1.6,1.6,1.6,1.6,781.27,1250
8/13/15 18:00,1.6,1.74,1.6,1.74,342.69,598.58
8/13/15 19:00,1.74,1.88,1.69,1.88,246.63,430.62
8/13/15 20:00,1.95,2.05,1.95,2.05,20,40.49
8/13/15 21:00,1.88,1.88,1.88,1.88,63.1,118.96
8/13/15 22:00,1.88,1.88,1.88,1.88,0,0
8/14/15 0:00,2.15,2.14,2.14,2.15,0.001527,0.003268
8/14/15 1:00,1.88,1.88,1.88,1.88,67.1,126.42
8/14/15 2:00,1.88,1.96,1.88,1.97,176.94,347.61
8/14/15 3:00,1.96,1.92,1.92,1.96,500,960
8/14/15 4:00,1.92,1.92,1.92,1.92,0,0
8/14/15 7:00,1.92,1.98,1.92,1.98,46.97,92.93
8/14/15 8:00,1.98,1.98,1.98,1.98,0,0
8/14/15 10:00,1.98,2.01,1.98,2.01,112.13,223.38
8/14/15 11:00,2.01,2.1,2.01,2.1,74.92,155.28
8/14/15 12:00,2.1,2.1,2.1,2.1,0,0
8/14/15 14:00,2.1,2,2,2.1,49.97,100.02
8/14/15 15:00,2,2,2,2,0,0
8/14/15 17:00,2,1.92,1.92,2,33.94,65.31
8/14/15 18:00,1.92,1.81,1.8,1.92,195.2,351.71
8/14/15 19:00,1.81,1.8,1.8,1.88,327.93,603.23
8/14/15 20:00,1.8,1.89,1.8,1.9,891.65,1693.01
8/14/15 21:00,1.89,2.03,1.9,2.03,1503.61,2921.45
8/14/15 22:00,2.03,1.99,1.99,2.03,534,1062.66
8/14/15 23:00,1.99,1.79,1.79,1.99,1286.37,2367.38
8/15/15 0:00,1.79,1.62,1.62,1.79,1878.17,3099.34
8/15/15 1:00,1.62,1.78,1.62,1.78,155.8,268.51
8/15/15 2:00,1.78,1.68,1.68,1.78,32,53.8
8/15/15 3:00,1.68,1.68,1.68,1.68,0,0
8/15/15 7:00,1.5,1.5,1.5,1.5,6,11
8/15/15 8:00,1.5,1.5,1.5,1.5,0,0
8/15/15 9:00,1.68,1.75,1.68,1.75,2536.77,4314.35
8/15/15 10:00,1.75,1.75,1.75,1.75,53.39,93.43
8/15/15 11:00,1.75,1.75,1.75,1.75,160.96,281.69
8/15/15 12:00,1.75,1.66,1.66,1.75,73.54,122.03
8/15/15 13:00,1.66,1.66,1.66,1.66,0,0
8/15/15 14:00,1.66,1.64,1.5,1.66,342.95,539.25
8/15/15 15:00,2,1.95,1.95,2,0,0
8/15/15 16:00,1.64,1.68,1.64,1.68,421.64,695.64
8/15/15 17:00,1.68,1.69,1.68,1.69,99.93,166.38
8/15/15 18:00,1.69,1.75,1.69,1.75,2607.96,4558.87
8/15/15 19:00,1.75,1.78,1.75,1.78,135.67,240.04
8/15/15 20:00,1.78,1.78,1.78,1.78,0,0
8/15/15 22:00,1.78,1.79,1.77,1.79,206.46,368.44
8/15/15 23:00,1.79,1.79,1.79,1.79,0,0
8/16/15 1:00,1.95,1.75,1.75,1.95,0,0
8/16/15 2:00,1.79,1.63,1.63,1.79,78.26,128.66
8/16/15 3:00,1.63,1.58,1.57,1.63,104,163.7
8/16/15 4:00,1.58,1.38,1.38,1.58,247.42,354.03
8/16/15 5:00,1.38,0.8,0.8,1.41,6146.82,6994.65
8/16/15 6:00,0.8,1.22,0.8,1.22,31.79,37.9
8/16/15 7:00,1.22,0.5,0.5,1.22,1556.87,1116.28
8/16/15 8:00,0.5,1.25,0.5,1.25,0.5626,0.703
8/16/15 9:00,1.25,1.25,1.25,1.25,105.18,130.96
8/16/15 10:00,1.14,1.11,1.11,1.14,181.54,204.72
8/16/15 11:00,1.25,1.23,1.12,1.25,332.72,404.27
8/16/15 12:00,1.23,1.23,1.23,1.37,394.02,524.92
8/16/15 13:00,1.23,1.49,1.23,1.49,114,169.29
8/16/15 14:00,1.49,1.49,1.49,1.49,9.99,14.82
8/16/15 15:00,1.49,1.3,1.3,1.49,100,130.14
8/16/15 21:00,1.3,1.36,1.3,1.36,201,269.49
8/16/15 22:00,1.36,1.36,1.36,1.36,40,54.23
8/16/15 23:00,1.36,1.37,1.36,1.37,70,96.18
8/17/15 0:00,1.37,1.51,1.37,1.59,506.21,770.01
8/17/15 1:00,1.51,1.51,1.51,1.51,0,0
8/17/15 4:00,1.51,1.58,1.5,1.58,3,4.74
8/17/15 5:00,1.58,1.58,1.58,1.58,0,0
8/17/15 6:00,1.58,1.46,1.46,1.58,30.54,44.63
8/17/15 7:00,1.46,1.46,1.46,1.46,0,0
8/17/15 8:00,1.46,1.46,1.46,1.46,0.02717,0.03967
8/17/15 9:00,1.46,1.46,1.46,1.46,1530.82,2235
8/17/15 11:00,1.46,1.46,1.46,1.46,376.96,550.44
8/17/15 13:00,1.46,1.3,1.3,1.46,1243.2,1637.55
8/17/15 14:00,1.3,1.3,1.25,1.3,250.53,320.67
8/17/15 15:00,1.3,1.3,1.3,1.3,374.12,485.69
8/17/15 18:00,1.77,1.77,1.77,1.77,0.005838,0.01033
8/17/15 19:00,1.77,1.77,1.77,1.77,0,0
8/17/15 23:00,1.34,1.52,1.34,1.52,10,15.2
8/18/15 0:00,1.52,1.52,1.52,1.52,0,0
8/18/15 3:00,1.52,1.57,1.52,1.57,5,7.83
8/18/15 4:00,1.57,1.57,1.57,1.57,0,0
8/18/15 6:00,1.3,1.15,1.15,1.3,100,115
8/18/15 7:00,1.15,1.15,1.15,1.15,0,0
8/18/15 8:00,1.15,1.24,1.15,1.24,46.75,58.01
8/18/15 9:00,1.24,1.2,1.2,1.24,2032.73,2440.66
8/18/15 10:00,1.2,1.19,1.19,1.2,201.57,239.87
8/18/15 11:00,1.19,1.19,1.19,1.19,0,0
8/18/15 15:00,1.23,1.97,1.23,1.97,0,0
8/18/15 16:00,1.19,1.36,1.19,1.36,4.05,5.51
8/18/15 17:00,1.36,1.36,1.36,1.36,0.6256,0.8673
8/18/15 18:00,1.36,1.36,1.36,1.36,0,0
8/19/15 0:00,1.36,1.1,0.99,1.36,1907.11,2011.23
8/19/15 1:00,1.1,1.1,1.1,1.1,0,0
8/19/15 6:00,1.01,1.38,1.01,1.38,15.18,16.53
8/19/15 7:00,1.1,1.2,1.1,1.2,100,120.1
8/19/15 11:00,1.2,1.2,1.2,1.2,58.73,70.53
8/19/15 12:00,1.97,1.3,1.3,1.97,0,0
8/19/15 14:00,1.2,1.24,1.2,1.24,1.79,2.22
8/19/15 15:00,1.24,1.24,1.24,1.24,475.81,590.01
8/19/15 16:00,1.24,1.24,1.24,1.24,1522.27,1887.62
8/19/15 17:00,1.3,1.4,1.3,1.4,0,0
8/19/15 18:00,1.4,1.29,1.29,1.4,0,0
8/19/15 20:00,1.29,1.3,1.29,1.3,0,0
8/19/15 21:00,1.3,1.41,1.3,1.41,50,69.75
8/19/15 22:00,1.41,1.3,1.3,1.41,0,0
8/19/15 23:00,1.4,1.3,1.3,1.4,1,1.3
8/20/15 1:00,1.3,1.41,1.3,1.41,0,0
8/20/15 2:00,1.41,1.41,1.41,1.41,0,0
8/20/15 4:00,1.24,1.3,1.24,1.3,50,65
8/20/15 6:00,1.3,1.25,1.25,1.3,16.92,21.15
8/20/15 7:00,1.25,1.25,1.25,1.25,0,0
8/20/15 9:00,1.3,1.33,1.3,1.33,87.22,116.39
8/20/15 13:00,1.33,1.37,1.33,1.37,88.15,120.32
8/20/15 14:00,1.37,1.37,1.37,1.37,0,0
8/20/15 15:00,1.41,1.38,1.38,1.5,0,0
8/20/15 16:00,1.37,1.31,1.31,1.37,100.97,134.45
8/20/15 17:00,1.31,1.35,1.31,1.35,500.07,673.09
8/20/15 18:00,1.35,1.35,1.35,1.35,0,0
8/20/15 21:00,1.35,1.52,1.35,1.52,388.07,577.53
8/20/15 23:00,1.5,1.73,1.5,1.73,41.59,63.67
8/21/15 0:00,1.73,1.73,1.73,1.73,0,0
8/21/15 4:00,1.73,1.44,1.44,1.73,0.1599,0.2305
8/21/15 5:00,1.44,1.44,1.44,1.44,0,0
8/21/15 6:00,1.52,1.45,1.45,1.52,44.26,64.18
8/21/15 7:00,1.45,1.45,1.45,1.45,0,0
8/21/15 9:00,1.45,1.5,1.45,1.5,5500,8000.49
8/21/15 10:00,1.5,1.5,1.5,1.5,4.25,6.37
8/21/15 11:00,1.5,1.5,1.5,1.5,71.24,106.86
8/21/15 12:00,1.5,1.51,1.5,1.51,1.25,1.89
8/21/15 15:00,1.51,1.53,1.51,1.53,150,228.2
8/21/15 16:00,1.53,1.47,1.47,1.53,109.45,163.77
8/21/15 17:00,1.61,1.6,1.6,1.61,0,0
8/21/15 18:00,1.73,1.57,1.57,1.73,1.93,3.03
8/21/15 19:00,1.47,1.44,1.44,1.48,399.36,579.85
8/21/15 20:00,1.53,1.52,1.52,1.53,19.1,27.5
8/21/15 21:00,1.52,1.52,1.52,1.53,0,0
8/21/15 23:00,1.44,1.5,1.44,1.5,10,15
8/22/15 0:00,1.44,1.4,1.4,1.44,229,320.98
8/22/15 1:00,1.5,1.33,1.33,1.5,0.5894,0.7839
8/22/15 2:00,1.4,1.4,1.4,1.4,0.000432,0.0006048
8/22/15 8:00,1.52,1.4,1.4,1.52,0,0
8/22/15 13:00,1.4,1.53,1.4,1.53,0,0
8/22/15 14:00,1.53,1.53,1.53,1.53,0,0
8/22/15 19:00,1.53,1.42,1.42,1.53,0,0
8/22/15 20:00,1.42,1.42,1.42,1.42,0,0
8/23/15 0:00,1.4,1.35,1.35,1.4,96.19,129.86
8/23/15 2:00,1.35,1.34,1.31,1.35,93.31,124.52
8/23/15 3:00,1.34,1.34,1.34,1.34,0,0
8/23/15 7:00,1.34,1.35,1.34,1.35,107,144.45
